Title,Original Title,Year,Critic Rating,User Rating,Genre,Production Country,Duration,Cover URL
2001: Odyseja kosmiczna,No original title,1968,9.8,8.6,Sci-Fi,"USA, Wielka Brytania",141 min,https://mediakrytyk.pl/images/movies/26/26573ddf39.jpg
Władca Pierścieni: Powrót króla,No original title,2003,9.8,8.4,Fantasy,"Nowa Zelandia, USA",201 min,https://mediakrytyk.pl/images/movies/e3/e349b65487.jpg
Obywatel Kane,Citizen Kane,1941,9.7,8.2,Dramat,Dramat,119 min,https://mediakrytyk.pl/images/movies/14/14c2b7931a.jpg
Dzisiejsze czasy,Modern Times,1936,9.7,7.3,Komedia,"Komedia, Niemy",87 min,https://mediakrytyk.pl/images/movies/4d/4dbf8ab858.jpg
Bez przebaczenia,Unforgiven,1992,9.7,8.2,Western,Western,131 min,https://mediakrytyk.pl/images/movies/66/660abbdef0.jpg
Gwiezdne wojny: Część V - Imperium kontratakuje,Star Wars: Episode V - The Empire Strikes Back,1980,9.5,8.6,Przygodowy,"Przygodowy, Sci-Fi",124 min,https://mediakrytyk.pl/images/movies/49/497b72804a.jpg
Nadzy,Naked,1993,9.4,6.4,Dramat,Dramat,131 min,https://mediakrytyk.pl/images/movies/30/30adc383ba.jpg
Aż poleje się krew,There Will Be Blood,2007,9.4,8.6,Dramat,"Dramat, Obyczajowy",158 min,https://mediakrytyk.pl/images/movies/30/3002a77713.jpg
One More Time with Feeling,No original title,2016,9.3,7.3,Dokumentalny,"Francja, Wielka Brytania",112 min,https://mediakrytyk.pl/images/movies/48/48ef11398c.jpg
Chłopcy z ferajny,Goodfellas,1990,9.3,8.2,Dramat,"Dramat, Kryminał",146 min,https://mediakrytyk.pl/images/movies/8e/8ec40b8e87.jpg
Miłość,Amour,2012,9.3,7.8,Dramat,"Dramat, Romans",127 min,https://mediakrytyk.pl/images/movies/17/17ec5cb1d1.jpg
Leon zawodowiec,Léon,1994,9.3,8.5,Dramat,"Dramat, Kryminał",110 min,https://mediakrytyk.pl/images/movies/4b/4bab4e66c7.jpg
Kneecap. Hip-hopowa rewolucja,No original title,2024,9.3,6.2,Dramat,Irlandia,105 min,https://mediakrytyk.pl/images/movies/10/10b91ee0f0.jpg
To nie jest kraj dla starych ludzi,No Country for Old Men,2007,9.3,8.5,Dramat,"Dramat, Thriller",122 min,https://mediakrytyk.pl/images/movies/dd/dd59c6a595.jpg
Donnie Darko,No original title,2001,9.3,8.2,Dramat,USA,113 min,https://mediakrytyk.pl/images/movies/6d/6d0537a988.jpg
WALL·E,No original title,2008,9.2,8.2,Animacja,USA,98 min,https://mediakrytyk.pl/images/movies/e1/e19e4f639f.jpg
Stan gry,State of Play,2009,9.2,7.1,Dramat,"Dramat, Thriller",127 min,https://mediakrytyk.pl/images/movies/6e/6e5e23515d.jpg
"Obcy - 8. pasażer ""Nostromo""",Alien,1979,9.1,8.6,Horror,"Horror, Sci-Fi",117 min,https://mediakrytyk.pl/images/movies/ab/ab88aee7c9.jpg
Substancja,No original title,2024,9.1,7.4,Dramat,USA,140 min,https://mediakrytyk.pl/images/movies/92/921d0eb2f9.jpg
Władca Pierścieni: Dwie wieże,No original title,2002,9.1,8.2,Fantasy,"Nowa Zelandia, USA",179 min,https://mediakrytyk.pl/images/movies/24/241defa06b.jpg
Terminator 2: Dzień sądu,Terminator 2: Judgment Day,1991,9.1,8.8,Akcja,"Akcja, Sci-Fi",137 min,https://mediakrytyk.pl/images/movies/28/28679b6acc.jpg
Annie Hall,No original title,1977,9.1,7.7,Komedia,USA,93 min,https://mediakrytyk.pl/images/movies/6d/6d0ef929a4.jpg
Mad Max: Na drodze gniewu,Mad Max: Fury Road,2015,9.0,8.2,Dramat,"Dramat, Akcja, Sci-Fi",120 min,https://mediakrytyk.pl/images/movies/c2/c2d6106089.jpg
Spider-Man: Poprzez multiwersum,No original title,2023,9.0,9.0,Animacja,USA,140 min,https://mediakrytyk.pl/images/movies/cb/cb3d9abce9.jpg
King Kong,No original title,1933,9.0,7.5,Horror,USA,100 min,https://mediakrytyk.pl/images/movies/27/275223dfff.jpg
Kung Fury: Pięści czasu,Kung Fury,2015,9.0,6.8,Komedia,"Komedia, Akcja",30 min,https://mediakrytyk.pl/images/movies/84/84da068bb9.jpg
Stalker,No original title,1979,9.0,8.0,Sci-Fi,ZSRR,163 min,https://mediakrytyk.pl/images/movies/19/19fa18fa00.jpg
Rejs,No original title,1970,9.0,7.5,Komedia,Polska,65 min,https://mediakrytyk.pl/images/movies/c0/c0b2718d71.jpg
Gwiezdne wojny: Część IV - Nowa nadzieja,Star Wars,1977,9.0,8.2,Przygodowy,"Przygodowy, Sci-Fi",121 min,https://mediakrytyk.pl/images/movies/91/9156821eae.jpg
Powrót do przyszłości,Back to the Future,1985,9.0,8.2,Komedia,"Komedia, Przygodowy, Sci-Fi",116 min,https://mediakrytyk.pl/images/movies/89/8909d4045f.jpg
Predator,No original title,1987,9.0,7.5,Akcja,USA,107 min,https://mediakrytyk.pl/images/movies/8b/8bb672b6c7.jpg
Strefa interesów,The Zone of Interest,2023,9.0,7.3,Dramat,"Dramat, Wojenny",106 min,https://mediakrytyk.pl/images/movies/5a/5a4845fe07.jpg
Spirited Away: W krainie Bogów,Sen to Chihiro no Kamikakushi,2001,9.0,8.7,Fantasy,"Fantasy, Przygodowy, Animacja",125 min,https://mediakrytyk.pl/images/movies/77/77e198bde4.jpg
Parasite,Gi-saeng-chung,2019,8.9,8.5,Dramat,Dramat,132 min,https://mediakrytyk.pl/images/movies/36/36d8e96b6d.jpg
Łowca androidów,Blade Runner,1982,8.9,8.2,Thriller,"Thriller, Sci-Fi",117 min,https://mediakrytyk.pl/images/movies/ef/efd3d07dc5.jpg
Zimowy sen,Kış Uykusu,2014,8.9,7.6,Dramat,Dramat,196 min,https://mediakrytyk.pl/images/movies/87/875a8a159a.jpg
Mechaniczna pomarańcza,A Clockwork Orange,1971,8.9,8.2,Dramat,"Dramat, Sci-Fi",136 min,https://mediakrytyk.pl/images/movies/1a/1aefa51c89.jpg
Casablanca,No original title,1942,8.9,8.1,Kryminał,USA,102 min,https://mediakrytyk.pl/images/movies/31/31760f2b16.jpg
Władca Pierścieni: Drużyna Pierścienia,No original title,2001,8.9,8.3,Fantasy,"Nowa Zelandia, USA",178 min,https://mediakrytyk.pl/images/movies/b7/b7c719093c.jpg
Wesele,No original title,2004,8.9,7.8,Dramat,Polska,101 min,https://mediakrytyk.pl/images/movies/fa/fa8cde29d2.jpg
Wywiad z wampirem,No original title,1994,8.8,7.6,Dramat,USA,123 min,https://mediakrytyk.pl/images/movies/3d/3dca055642.jpg
Walc z Baszirem,Vals im Bashir,2008,8.8,7.8,Animacja,"Animacja, Biograficzny, Dokumentalny, Wojenny",90 min,https://mediakrytyk.pl/images/movies/f9/f9dc8d7000.jpg
Nosferatu - symfonia grozy,"Nosferatu, eine Symphonie des Grauens",1922,8.8,7.8,Horror,"Horror, Niemy",94 min,https://mediakrytyk.pl/images/movies/25/25ecda4bb3.jpg
Melancholia,No original title,2011,8.8,7.1,Dramat,"Dania, Francja, Niemcy, Szwecja",130 min,https://mediakrytyk.pl/images/movies/44/445aeeb01b.jpg
Lewiatan,Leviafan,2014,8.8,7.5,Dramat,Dramat,140 min,https://mediakrytyk.pl/images/movies/0b/0b068a2388.jpg
Spider-Man Uniwersum,No original title,2018,8.7,8.8,Animacja,USA,117 min,https://mediakrytyk.pl/images/movies/14/14c6aad1c0.jpg
Birdman,No original title,2014,8.7,8.1,Dramat,USA,119 min,https://mediakrytyk.pl/images/movies/f7/f700c3f95f.jpg
Wyścig,Rush,2013,8.7,7.6,Biograficzny,"Biograficzny, Sportowy, Dramat",123 min,https://mediakrytyk.pl/images/movies/60/60cc6f4e96.jpg
The Brutalist,No original title,2024,8.7,7.1,Dramat,"USA, Węgry, Wielka Brytania",215 min,https://mediakrytyk.pl/images/movies/47/477152a78e.jpg
Grand Budapest Hotel,The Grand Budapest Hotel,2014,8.7,8.1,Dramat,"Dramat, Komedia",100 min,https://mediakrytyk.pl/images/movies/4b/4b32ed274b.jpg
Wściekły Byk,Raging Bull,1980,8.7,7.8,Biograficzny,"Biograficzny, Dramat",129 min,https://mediakrytyk.pl/images/movies/3d/3d002c09ea.jpg
Belle,Belle: Ryū to Sobakasu no Hime,2021,8.7,6.6,Sci-Fi,"Sci-Fi, Animacja",121 min,https://mediakrytyk.pl/images/movies/a1/a1aefba090.jpg
Obcy - decydujące starcie,Aliens,1986,8.7,8.2,Horror,"Horror, Sci-Fi",137 min,https://mediakrytyk.pl/images/movies/28/28bc9dfb27.jpg
Piękna wieś pięknie płonie,Lepa sela lepo gore,1996,8.7,No user rating,Dramat,"Dramat, Komedia, Wojenny",115 min,https://mediakrytyk.pl/images/movies/f4/f48e813700.jpg
"Gdzie jesteś, Amando",No original title,2007,8.7,7.5,Dramat,USA,114 min,https://mediakrytyk.pl/images/movies/fc/fc39740398.jpg
Siedzący słoń,Da Xiang Xi Di Er Zuo,2018,8.7,6.5,Dramat,Dramat,230 min,https://mediakrytyk.pl/images/movies/00/00c58a4ed5.jpg
Szeregowiec Ryan,No original title,1998,8.7,8.2,Dramat,USA,170 min,https://mediakrytyk.pl/images/movies/41/416283c9f9.jpg
Dzicy chłopcy,Les Garçons sauvages,2017,8.7,7.1,Erotyczny,Erotyczny,110 min,https://mediakrytyk.pl/images/movies/a6/a6bf765077.jpg
Memento,No original title,2000,8.7,8.2,Kryminał,USA,113 min,https://mediakrytyk.pl/images/movies/2d/2d11580d43.jpg
"Tick, Tick... Boom!",No original title,2021,8.7,7.6,Biograficzny,USA,115 min,https://mediakrytyk.pl/images/movies/ca/ca6f4cc8d4.jpg
Wśród nocnej ciszy,No original title,1978,8.7,7.2,Dramat,Polska,116 min,https://mediakrytyk.pl/images/movies/b6/b6c7f9d6f9.jpg
Generał,The General,1926,8.7,7.8,Komedia,"Komedia, Wojenny, Romans, Niemy",78 min,https://mediakrytyk.pl/images/movies/8b/8bea0f6cf9.jpg
Viviane chce się rozwieść,Le procès de Viviane Amsalem,2014,8.7,6.7,Dramat,Dramat,115 min,https://mediakrytyk.pl/images/movies/1a/1acef80c53.jpg
Batman kontra Dwie Twarze,Batman vs. Two-Face,2017,8.7,No user rating,Animacja,"Animacja, Komedia, Akcja",72 min,https://mediakrytyk.pl/images/movies/22/22113cebaf.jpg
Coco,No original title,2017,8.7,8.2,Animacja,USA,105 min,https://mediakrytyk.pl/images/movies/25/256fd8ddab.jpg
Okruchy dnia,The Remains of the Day,1993,8.6,8.2,Dramat,"Dramat, Romans, Obyczajowy",134 min,https://mediakrytyk.pl/images/movies/f0/f0e5ddb876.jpg
Incepcja,No original title,2010,8.6,8.2,Surrealistyczny,"USA, Wielka Brytania",148 min,https://mediakrytyk.pl/images/movies/00/0058d0b011.jpg
Za wszelką cenę,Million Dollar Baby,2004,8.6,8.1,Dramat,Dramat,132 min,https://mediakrytyk.pl/images/movies/9f/9f92ac03bf.jpg
Flow,No original title,2024,8.6,7.0,Animacja,"Łotwa, Francja, Belgia",84 min,https://mediakrytyk.pl/images/movies/15/15cb2a9f18.jpg
Drzewo życia,The Tree of Life,2011,8.6,7.7,Dramat,Dramat,138 min,https://mediakrytyk.pl/images/movies/87/87dc3ef1d3.jpg
Labirynt fauna,El laberinto del fauno,2006,8.6,8.1,Dramat,"Dramat, Fantasy",112 min,https://mediakrytyk.pl/images/movies/78/7874628af8.jpg
Dzień świstaka,Groundhog Day,1993,8.6,7.7,Komedia,"Komedia, Romans",101 min,https://mediakrytyk.pl/images/movies/88/88bfa19986.jpg
Raid,Serbuan maut,2011,8.6,7.1,Akcja,Akcja,101 min,https://mediakrytyk.pl/images/movies/ec/ecfaf52dda.jpg
Frances Ha,No original title,2012,8.6,6.9,Dramat,USA,86 min,https://mediakrytyk.pl/images/movies/c2/c2dff36cd4.jpg
Terminator,The Terminator,1984,8.6,8.1,Akcja,"Akcja, Sci-Fi",107 min,https://mediakrytyk.pl/images/movies/c2/c216bdb70c.jpg
Diuna: Część druga,Dune: Part Two,2024,8.6,8.0,Sci-Fi,Sci-Fi,166 min,https://mediakrytyk.pl/images/movies/7f/7f219f9b7b.jpg
Aida,"Quo Vadis, Aïda?",2020,8.6,7.6,Dramat,Dramat,104 min,https://mediakrytyk.pl/images/movies/bd/bd536286d5.jpg
Manchester by the Sea,No original title,2016,8.6,8.2,Dramat,USA,137 min,https://mediakrytyk.pl/images/movies/04/04fa7b96d7.jpg
Krew na betonie,Dragged Across Concrete,2018,8.6,6.8,Dramat,"Dramat, Kryminał",159 min,https://mediakrytyk.pl/images/movies/2e/2ebf049a31.jpg
Wielkie piękno,La grande bellezza,2013,8.6,8.1,Dramat,"Dramat, Komedia",142 min,https://mediakrytyk.pl/images/movies/d9/d9e379e764.jpg
"Trzy billboardy za Ebbing, Missouri","Three Billboards Outside Ebbing, Missouri",2017,8.6,8.5,Dramat,Dramat,115 min,https://mediakrytyk.pl/images/movies/11/111624fabd.jpg
Duchy Inisherin,The Banshees of Inisherin,2022,8.6,8.0,Dramat,"Dramat, Komedia",114 min,https://mediakrytyk.pl/images/movies/b6/b6f021c944.jpg
Roma,No original title,2018,8.5,7.7,Dramat,Meksyk,135 min,https://mediakrytyk.pl/images/movies/73/73ef802b21.jpg
Mama,No original title,2014,8.5,7.8,Dramat,Kanada,140 min,https://mediakrytyk.pl/images/movies/c0/c08f6c5f3d.jpg
Nić widmo,No original title,2017,8.5,7.6,Dramat,"USA, Wielka Brytania, Chiny",130 min,https://mediakrytyk.pl/images/movies/9b/9b66dd6a18.jpg
Róża,No original title,2011,8.5,7.9,Dramat,Polska,98 min,https://mediakrytyk.pl/images/movies/3f/3f841440a9.jpg
Poszukiwacze zaginionej Arki,Raiders of the Lost Ark,1981,8.5,8.2,Przygodowy,Przygodowy,115 min,https://mediakrytyk.pl/images/movies/df/df7dfefc3b.jpg
Lektor,The Reader,2008,8.5,7.7,Dramat,"Dramat, Romans",124 min,https://mediakrytyk.pl/images/movies/14/14e2ca0f07.jpg
Zezowate szczęście,No original title,1960,8.5,7.8,Komedia,Polska,107 min,https://mediakrytyk.pl/images/movies/97/97397b6abf.jpg
Braveheart - Waleczne Serce,Braveheart,1995,8.5,8.1,Dramat,"Dramat, Historyczny",177 min,https://mediakrytyk.pl/images/movies/2e/2ec735e001.jpg
Kimi no Na wa.,No original title,2016,8.5,7.6,Fantasy,Japonia,106 min,https://mediakrytyk.pl/images/movies/eb/eb815e5aab.jpg
Szczęki,No original title,1975,8.5,7.5,Thriller,USA,124 min,https://mediakrytyk.pl/images/movies/43/433d4c912b.jpg
RoboCop,No original title,1987,8.5,7.5,Dramat,USA,102 min,https://mediakrytyk.pl/images/movies/d6/d603a0a575.jpg
Rocky,No original title,1976,8.5,8.0,Dramat,USA,119 min,https://mediakrytyk.pl/images/movies/96/9694b8db0c.jpg
Truman Show,No original title,1998,8.5,8.2,Dramat,USA,103 min,https://mediakrytyk.pl/images/movies/21/21d008a048.jpg
Szpieg,Tinker Tailor Soldier Spy,2011,8.5,7.5,Thriller,Thriller,127 min,https://mediakrytyk.pl/images/movies/63/638e2d0d65.jpg
To wspaniałe życie,No original title,1946,8.5,8.1,Dramat,USA,130 min,https://mediakrytyk.pl/images/movies/89/89e6b63901.jpg
Zwierzogród,Zootopia,2016,8.5,8.1,Animacja,"Animacja, Komedia, Przygodowy",108 min,https://mediakrytyk.pl/images/movies/5e/5e8051c095.jpg
Sieranevada,No original title,2016,8.5,7.5,Dramat,"Rumunia, Francja, Bośnia i Hercegowina, Chorwacja, Macedonia",173 min,https://mediakrytyk.pl/images/movies/85/85855066c6.jpg
Historia małżeńska,Marriage Story,2019,8.5,8.1,Dramat,"Dramat, Komedia",136 min,https://mediakrytyk.pl/images/movies/a7/a745895caa.jpg
Lighthouse,The Lighthouse,2019,8.5,8.2,Dramat,"Dramat, Horror",110 min,https://mediakrytyk.pl/images/movies/46/4670f85982.jpg
W głowie się nie mieści,No original title,2015,8.5,8.1,Animacja,USA,94 min,https://mediakrytyk.pl/images/movies/ad/ad46869127.jpg
Ratując pana Banksa,Saving Mr. Banks,2013,8.5,7.5,Biograficzny,"Biograficzny, Dramat, Komedia",126 min,https://mediakrytyk.pl/images/movies/35/3513ce085c.jpg
Plemię,Plemya,2014,8.4,7.4,Dramat,"Dramat, Kryminał",132 min,https://mediakrytyk.pl/images/movies/86/8636547b20.jpg
Shrek,No original title,2001,8.4,8.1,Familijny,USA,90 min,https://mediakrytyk.pl/images/movies/94/945a09773b.jpg
Radio na fali,The Boat That Rocked,2009,8.4,7.3,Dramat,"Dramat, Komedia, Muzyczny",135 min,https://mediakrytyk.pl/images/movies/3e/3eff00fb0b.jpg
Joker,No original title,2019,8.4,8.1,Dramat,USA,122 min,https://mediakrytyk.pl/images/movies/04/048751f52c.jpg
Podziemny krąg,Fight Club,1999,8.4,8.6,Thriller,Thriller,139 min,https://mediakrytyk.pl/images/movies/22/223182739f.jpg
Klaus,No original title,2019,8.4,7.8,Animacja,Hiszpania,96 min,https://mediakrytyk.pl/images/movies/b7/b7a4f3c38b.jpg
Mroczny Rycerz,The Dark Knight,2008,8.4,8.8,Akcja,"Akcja, Sci-Fi",152 min,https://mediakrytyk.pl/images/movies/b4/b491bdebe3.jpg
Długa podróż dnia ku nocy,Di Qiu Zui Hou De Ye Wan,2018,8.4,6.9,Dramat,Dramat,138 min,https://mediakrytyk.pl/images/movies/e5/e523848a21.jpg
Wybraniec,No original title,2024,8.4,7.1,Biograficzny,"USA, Kanada, Dania, Irlandia",122 min,https://mediakrytyk.pl/images/movies/60/60a27b98c6.jpg
Better Man: Niesamowity Robbie Williams,No original title,2024,8.4,6.5,Biograficzny,"USA, Wielka Brytania, Chiny, Francja, Australia",134 min,https://mediakrytyk.pl/images/movies/e3/e3ae11d877.jpg
Samotny mężczyzna,A Single Man,2009,8.4,7.5,Dramat,Dramat,99 min,https://mediakrytyk.pl/images/movies/04/04df719474.jpg
Na noże,Knives Out,2019,8.4,8.2,Dramat,"Dramat, Komedia, Kryminał",130 min,https://mediakrytyk.pl/images/movies/82/8205274a6d.jpg
Mitchellowie kontra maszyny,The Mitchells vs. The Machines,2021,8.4,7.6,Animacja,"Animacja, Komedia",113 min,https://mediakrytyk.pl/images/movies/9c/9c87d228db.jpg
Obiecująca. Młoda. Kobieta.,No original title,2020,8.4,7.9,Dramat,"Wielka Brytania, USA",113 min,https://mediakrytyk.pl/images/movies/31/31b0605df8.jpg
Sekrety morza,Song of the Sea,2014,8.4,7.4,Animacja,"Animacja, Familijny, Fantasy",93 min,https://mediakrytyk.pl/images/movies/ae/aec90d6251.jpg
Fantastyczny Pan Lis,Fantastic Mr. Fox,2009,8.3,7.7,Animacja,"Animacja, Familijny, Komedia, Przygodowy",87 min,https://mediakrytyk.pl/images/movies/79/792a3e7c79.jpg
Conan Barbarzyńca,Conan the Barbarian,1982,8.3,6.7,Fantasy,"Fantasy, Przygodowy",129 min,https://mediakrytyk.pl/images/movies/5b/5b6affe016.jpg
Batman,No original title,1989,8.3,8.2,Akcja,"Wielka Brytania, USA",126 min,https://mediakrytyk.pl/images/movies/1e/1e32b0e03e.jpg
Rozstanie,Jodaeiye Nader az Simin,2011,8.3,8.1,Dramat,Dramat,123 min,https://mediakrytyk.pl/images/movies/d3/d34f4b216b.jpg
Cyrk,The Circus,1928,8.3,7.4,Komedia,"Komedia, Niemy",78 min,https://mediakrytyk.pl/images/movies/0b/0b32b55ca3.jpg
Carrie,No original title,1976,8.3,6.9,Horror,USA,98 min,https://mediakrytyk.pl/images/movies/7a/7a88daf338.jpg
Martyrs. Skazani na strach,Martyrs,2008,8.3,6.3,Dramat,"Dramat, Horror",99 min,https://mediakrytyk.pl/images/movies/82/82d028aecb.jpg
Upadek,Falling Down,1993,8.3,7.6,Thriller,Thriller,112 min,https://mediakrytyk.pl/images/movies/f1/f17f09119a.jpg
