Rank,Title,Original Title,Year,Critic Rating,User Rating,Genre,Production Country,Duration,Cover URL
1,Fleabag,No original title,2016-2019,9.4,8.1,Komedia,Wielka Brytania,27 min,https://mediakrytyk.pl/media/images/empty_dark/movie.png
2,Legion,No original title,2017-2019,9.3,8.4,Dramat,USA,60 min,https://mediakrytyk.pl/media/images/empty_dark/movie.png
3,Sukcesja,Succession,2018-2023,9.2,7.9,Dramat,Dramat,56 min,https://mediakrytyk.pl/media/images/empty_dark/movie.png
4,Wielkie kłamstewka,Big Little Lies,2017-,9.2,8.1,Dramat,Dramat,60 min,https://mediakrytyk.pl/media/images/empty_dark/movie.png
5,Barry,No original title,2018-2023,9.2,7.3,Komedia,USA,30 min,https://mediakrytyk.pl/media/images/empty_dark/movie.png
6,Zadzwoń do Saula,Better Call Saul,2022-2022,9.1,8.3,Dramat,"Dramat, Komedia, Kryminał",46 min,https://mediakrytyk.pl/media/images/empty_dark/movie.png
7,Czarnobyl,Chernobyl,2019-,9.0,8.8,Dramat,Dramat,64 min,https://mediakrytyk.pl/media/images/empty_dark/movie.png
8,Arcane,No original title,2021-2024,9.0,8.6,Animacja,USA,41 min,https://mediakrytyk.pl/media/images/empty_dark/movie.png
9,Ostatni taniec,The Last Dance,2020-,9.0,8.1,Dokumentalny,"Dokumentalny, Sportowy",50 min,https://mediakrytyk.pl/media/images/empty_dark/movie.png
10,Dark,No original title,2017-2020,9.0,8.2,Sci-Fi,Niemcy,60 min,https://mediakrytyk.pl/media/images/empty_dark/movie.png
11,Ted Lasso,No original title,2020-,8.9,8.3,Komedia,"USA, Wielka Brytania",30 min,https://mediakrytyk.pl/media/images/empty_dark/movie.png
12,Narcos,No original title,2015-2017,8.9,8.3,Biograficzny,"USA, Kolumbia",49 min,https://mediakrytyk.pl/media/images/empty_dark/movie.png
13,Pingwin,No original title,2024-,8.8,8.1,Kryminał,USA,60 min,https://mediakrytyk.pl/media/images/empty_dark/movie.png
14,Dom grozy,Penny Dreadful,2014-2016,8.8,7.3,Dramat,"Dramat, Horror",60 min,https://mediakrytyk.pl/media/images/empty_dark/movie.png
15,Fallout,No original title,2024-,8.8,7.8,Akcja,USA,59 min,https://mediakrytyk.pl/media/images/empty_dark/movie.png
16,Gambit królowej,The Queen's Gambit,2020-,8.7,7.9,Dramat,Dramat,56 min,https://mediakrytyk.pl/media/images/empty_dark/movie.png
17,The Bear,No original title,2022-,8.6,8.1,Komedia,USA,30 min,https://mediakrytyk.pl/media/images/empty_dark/movie.png
18,Ślepnąc od świateł,No original title,2018-,8.6,7.9,Thriller,Polska,58 min,https://mediakrytyk.pl/media/images/empty_dark/movie.png
19,BoJack Horseman,No original title,2014-2020,8.6,9.0,Dramat,USA,25 min,https://mediakrytyk.pl/media/images/empty_dark/movie.png
20,Spisek przeciwko Ameryce,The Plot Against America,2020-,8.6,6.8,Dramat,Dramat,60 min,https://mediakrytyk.pl/media/images/empty_dark/movie.png
21,Mindhunter,No original title,2017-2019,8.6,8.2,Kryminał,USA,60 min,https://mediakrytyk.pl/media/images/empty_dark/movie.png
22,The Knick,No original title,2014-2015,8.5,7.8,Dramat,USA,60 min,https://mediakrytyk.pl/media/images/empty_dark/movie.png
23,Orange Is the New Black,No original title,2013-2019,8.5,7.5,Dramat,USA,60 min,https://mediakrytyk.pl/media/images/empty_dark/movie.png
24,Stacja Jedenasta,Station Eleven,2021-2022,8.5,6.4,Sci-Fi,Sci-Fi,45 min,https://mediakrytyk.pl/media/images/empty_dark/movie.png
25,Wielka,The Great,2020-,8.5,6.9,Komedia,Komedia,50 min,https://mediakrytyk.pl/media/images/empty_dark/movie.png
26,Stranger Things,No original title,2016-,8.5,7.9,Dramat,USA,60 min,https://mediakrytyk.pl/media/images/empty_dark/movie.png
27,Niezwyciężony,No original title,2021-,8.4,7.7,Akcja,USA,45 min,https://mediakrytyk.pl/media/images/empty_dark/movie.png
28,Nowy papież,The New Pope,2020-,8.4,8.1,Dramat,"Dramat, Komedia",60 min,https://mediakrytyk.pl/media/images/empty_dark/movie.png
29,Peacemaker,No original title,2022-,8.4,7.5,Komedia,USA,42 min,https://mediakrytyk.pl/media/images/empty_dark/movie.png
30,Ozark,No original title,2017-2022,8.4,7.4,Dramat,USA,60 min,https://mediakrytyk.pl/media/images/empty_dark/movie.png
31,Devs,No original title,2020-,8.4,7.4,Thriller,USA,50 min,https://mediakrytyk.pl/media/images/empty_dark/movie.png
32,Sense8,No original title,2015-2018,8.4,7.4,Dramat,USA,60 min,https://mediakrytyk.pl/media/images/empty_dark/movie.png
33,Miasto jest nasze,We Own This City,2022-,8.4,7.4,Dramat,Dramat,60 min,https://mediakrytyk.pl/media/images/empty_dark/movie.png
34,Star Trek: Picard,No original title,2020-2023,8.4,7.5,Sci-Fi,USA,60 min,https://mediakrytyk.pl/media/images/empty_dark/movie.png
35,Rozdzielenie,No original title,2022-,8.4,8.4,Thriller,USA,53 min,https://mediakrytyk.pl/media/images/empty_dark/movie.png
36,Jujutsu Kaisen,No original title,2020-,8.4,6.5,Fantasy,Japonia,23 min,https://mediakrytyk.pl/media/images/empty_dark/movie.png
37,Andor,No original title,2022-,8.4,7.5,Przygodowy,USA,40 min,https://mediakrytyk.pl/media/images/empty_dark/movie.png
38,Informacja zwrotna,No original title,2023-,8.3,7.6,Dramat,Polska,51 min,https://mediakrytyk.pl/media/images/empty_dark/movie.png
39,Sprzątaczka,Maid,2021-,8.3,8.0,Dramat,"Dramat, Komedia",55 min,https://mediakrytyk.pl/media/images/empty_dark/movie.png
40,Peaky Blinders,No original title,2013-2022,8.3,8.1,Kryminał,Wielka Brytania,60 min,https://mediakrytyk.pl/media/images/empty_dark/movie.png
41,1883,No original title,2021-,8.3,7.9,Western,USA,55 min,https://mediakrytyk.pl/media/images/empty_dark/movie.png
42,Nawiedzony dom na wzgórzu,The Haunting of Hill House,2018-,8.3,8.1,Dramat,"Dramat, Horror",50 min,https://mediakrytyk.pl/media/images/empty_dark/movie.png
